1	30 
2	9 
3	17 
4	8 
5	24 
6	13 
7	28 
8	30 
9	19 
10	2 
11	18 
12	22 
13	25 
14	28 
15	14 
16	24 
17	2 
18	2 
19	17 
20	7 9 14 
21	1 15 28 
22	17 
23	3 20 27 
24	9 
25	1 5 21 
26	9 
27	6 
28	1 5 15 
29	15 
30	16 
31	9 22 25 
32	15 
33	3 26 27 
34	5 
35	20 
36	1 6 28 
37	3 
38	18 
39	16 
40	19 
41	1 5 29 
42	18 
43	5 11 13 
44	2 
45	9 
46	1 13 15 
47	2 
48	10 
49	7 11 28 
50	26 
51	15 
52	1 
53	12 
54	15 
55	2 3 16 
56	2 
57	25 
58	16 
59	11 
60	8 
61	13 18 27 
62	2 15 27 
63	21 
64	29 
65	9 
66	1 2 29 
67	6 
68	13 
69	13 
70	8 
71	15 
72	1 9 21 
73	6 
74	10 
75	5 
76	18 
77	5 
78	27 
79	5 
80	5 
81	21 
82	6 
83	14 
84	8 
85	9 
86	6 8 20 
87	20 
88	7 
89	13 
90	22 
91	23 
92	18 
93	16 
94	3 
95	14 
96	28 
97	5 
98	27 
99	6 
100	6 
101	7 
102	20 
103	3 
104	11 
105	21 
106	10 
107	12 
108	21 
109	1 
110	27 
111	2 18 21 
112	2 
113	13 
114	3 
115	3 9 11 
116	28 
117	1 
118	11 
119	15 
120	13 
121	5 11 15 
122	1 
123	29 
124	22 
125	25 
126	16 
127	2 
128	3 
129	3 5 21 
130	4 
131	5 19 30 
132	21 
133	11 
134	27 
135	1 
136	8 25 27 
137	5 
138	30 
139	1 
140	5 
141	1 
142	1 
143	21 
144	6 
145	6 11 20 
146	21 
147	22 
148	15 
149	11 
150	5 
151	1 
152	21 
153	1 
154	21 
155	5 29 30 
156	11 
157	4 
158	25 
159	15 21 23 
160	14 
161	25 
162	21 
163	18 
164	13 23 27 
165	30 
166	15 
167	18 
168	12 
169	22 
170	3 
171	20 
172	26 
173	28 
174	26 
175	5 
176	23 
177	15 
178	22 
179	3 
180	22 
181	22 25 29 
182	9 
183	11 
184	22 
185	15 18 27 
186	27 
187	29 
188	29 
189	27 
190	8 
191	5 
192	14 18 30 
193	11 
194	9 11 28 
195	9 19 27 
196	18 
197	9 
198	23 
199	30 
200	15 
201	7 16 26 
202	25 
203	11 
204	25 
205	5 11 15 
206	26 
207	15 
208	17 
209	4 
210	1 5 29 
211	16 
212	6 
213	1 18 20 
214	13 18 24 
215	7 
216	21 
217	11 
218	27 
219	2 
220	10 
221	18 
222	6 
223	3 21 25 
224	23 
225	6 
226	27 
227	14 
228	10 
229	27 
230	11 22 27 
231	11 
232	2 
233	2 5 27 
234	28 
235	22 
236	30 
237	1 
238	16 
239	8 
240	5 
241	19 
242	21 
243	13 
244	14 
245	13 
246	25 
247	11 
248	6 
249	28 
250	2 5 21 
251	18 
252	15 
253	10 
254	22 
255	22 
256	16 
257	3 
258	7 
259	22 
260	1 
261	27 
262	21 
263	11 
264	2 
265	11 15 22 
266	2 
267	18 
268	12 
269	5 
270	28 
271	26 
272	21 
273	5 
274	7 
275	4 
276	6 16 19 
277	6 
278	12 
279	1 
280	5 
281	4 25 27 
282	6 
283	28 
284	1 11 28 
285	2 20 21 
286	15 
287	25 
288	8 
289	1 5 22 
290	2 
291	1 
292	1 
293	17 
294	13 
295	9 
296	8 
297	22 
298	3 9 24 
299	28 
300	21 
301	10 
302	28 
303	5 
304	1 5 23 
305	19 
306	21 
307	3 
308	11 
309	3 
310	9 
311	4 15 27 
312	2 
313	13 
314	15 
315	21 
316	23 
317	11 
318	2 23 30 
319	25 
320	6 22 25 
321	9 22 27 
322	3 
323	1 
324	5 
325	10 
326	27 
327	4 
328	1 15 30 
329	5 11 15 
330	8 
331	7 
332	26 
333	2 22 26 
334	27 
335	28 
336	29 
337	9 
338	8 11 22 
339	22 
340	23 
341	1 
342	1 
343	5 
344	3 
345	6 
346	3 6 22 
347	5 
348	12 
349	17 
350	20 
351	21 
352	5 
353	1 
354	17 
355	24 
356	11 
357	23 
358	17 
359	28 
360	8 
361	1 
362	4 13 25 
363	18 
364	9 
365	11 
366	2 17 25 
367	5 
368	11 
369	27 
370	1 24 25 
371	12 
372	1 
373	17 
374	24 
375	21 
376	1 
377	25 
378	5 22 25 
379	20 
380	1 22 28 
381	22 
382	10 
383	12 
384	8 17 21 
385	27 
386	15 
387	1 
388	17 
389	5 
390	23 
391	3 22 28 
392	6 
393	5 20 21 
394	15 
395	14 
396	1 
397	3 9 11 
398	22 
399	15 
400	5 
401	12 
402	5 
403	8 
404	9 18 30 
405	5 
406	15 
407	3 
408	22 25 28 
409	1 
410	3 
411	11 
412	1 4 26 
413	4 
414	5 11 19 
415	11 
416	1 2 15 
417	4 21 30 
418	19 
419	21 
420	23 
421	1 
422	16 
423	29 
424	23 
425	14 
426	13 
427	14 
428	14 
429	29 
430	3 
431	11 16 27 
432	21 
433	1 5 18 
434	4 
435	2 8 13 
436	15 
437	1 3 8 
438	23 
439	18 
440	4 5 25 
441	25 
442	16 26 28 
443	28 
444	17 
445	13 
446	11 
447	16 
448	26 
449	9 
450	15 
451	25 
452	15 
453	11 
454	3 
455	9 
456	8 
457	11 
458	11 
459	4 
460	21 
461	21 
462	6 
463	4 
464	7 
465	18 
466	5 12 16 
467	17 
468	13 
469	2 11 22 
470	21 
471	4 
472	11 
