1	8 
2	4 5 13 
3	26 
4	2 
5	7 
6	4 
7	5 
8	8 
9	25 
10	21 
11	13 
12	2 
13	5 
14	9 
15	14 
16	2 
17	19 
18	13 
19	16 
20	1 
21	20 
22	2 4 8 
23	11 
24	6 
25	25 
26	7 
27	2 
28	6 
29	7 
30	8 
31	18 
32	19 
33	20 
34	12 
35	1 4 21 
36	6 
37	6 
38	12 
39	5 
40	4 
41	16 
42	2 
43	18 
44	19 
45	21 
46	21 
47	4 6 13 
48	3 
49	25 
50	26 
51	12 
52	2 
53	2 
54	17 
55	2 10 18 
56	1 
57	4 
58	26 
59	16 
60	2 
61	7 
62	6 
63	4 
64	10 
65	17 
66	13 17 18 
67	14 
68	3 
69	21 
70	21 
71	19 
72	3 
73	14 
74	22 
75	21 
76	11 
77	9 
78	4 
79	2 16 19 
80	13 
81	2 
82	9 
83	8 
84	12 
85	6 
86	6 
87	2 8 23 
88	18 
89	15 
90	12 
91	4 
92	2 7 14 
93	23 
94	1 
95	4 13 26 
96	13 
97	2 
98	19 
99	4 
100	9 16 18 
101	14 
102	23 
103	21 
104	5 
105	2 
106	14 
107	24 
108	3 
109	19 
110	18 
111	1 9 16 
112	8 
113	7 8 11 
114	21 
115	2 
116	14 
117	25 
118	16 
119	3 
120	2 
121	2 
122	18 
123	1 
124	13 
125	16 
126	23 
127	15 
128	1 
129	26 
130	4 
131	6 
132	12 14 23 
133	4 
134	10 
135	1 
136	11 
137	26 
138	2 
139	8 
140	6 
141	1 
142	2 
143	20 
144	1 
145	18 
146	2 
147	2 3 15 
148	2 
149	13 
150	26 
151	2 
152	13 
153	15 
154	1 
155	4 
156	10 
157	10 
158	24 
159	17 
160	26 
161	17 
162	13 
163	15 
164	14 
165	25 
166	10 
167	8 
168	18 
169	7 
170	18 
171	4 
172	2 
173	10 
174	7 
175	3 14 25 
176	8 
177	8 
178	18 
179	22 
180	8 
181	26 
182	12 
183	12 
184	19 
185	4 
186	3 
187	13 
188	17 
189	21 
190	5 
191	18 
192	1 
193	14 
194	11 
195	7 
196	4 10 17 
197	7 
198	19 
199	2 6 9 
200	22 
201	6 
202	13 
203	1 
204	15 
205	13 
206	25 
207	15 
208	3 
209	2 6 21 
210	2 
211	6 
212	20 
213	25 
214	13 
215	6 
216	2 9 10 
217	14 
218	4 
219	6 
220	15 23 26 
221	22 
222	26 
223	22 
